,GAME_ID,TEAM_NAME,PTS,WINNER,DEFLECTIONS_RATIO,DEFLECTIONS_DIFF,CONTEST_RATE,CONTEST_RATE_2,CONTEST_RATE_3,CHARGES_RATIO,CHARGES_DIFF,SCREEN_AST_RATIO,SCREEN_AST_DIFF,SCREEN_AST_PTS_RATIO,SCREEN_AST_PTS_DIFF,LOOSE_RATIO,LOOSE_DIFFERENCE,OFF_BOXOUT_RATIO,OFF_BOXOUT_DIFF,DEF_BOXOUT_RATIO,DEF_BOXOUT_DIFF,BOXOUT_TM_RBS_RATIO,BOXOUT_TM_RBS_DIFF
22,21800012,Nuggets,107,1,0.0,0,0.8409090909090909,0.8166666666666667,0.8928571428571429,0.0,0,0.4444444444444444,-1,0.45454545454545453,-2,0.0,0,0.6666666666666666,1,0.5306122448979592,3,0.5333333333333333,2
23,21800012,Clippers,98,0,0.0,0,0.7816091954022989,0.8571428571428571,0.5833333333333334,0.0,0,0.5555555555555556,1,0.5454545454545454,2,0.0,0,0.3333333333333333,-1,0.46938775510204084,-3,0.4666666666666667,-2
24,21800013,Mavericks,100,0,0.0,-1,0.7654320987654321,0.7446808510638298,0.7941176470588235,1.0,2,0.5,0,0.4722222222222222,-2,1.0,1,0.6666666666666666,3,0.3541666666666667,-14,0.42857142857142855,-5
25,21800013,Suns,121,1,1.0,1,0.6590909090909091,0.5454545454545454,0.8484848484848485,0.0,-2,0.5,0,0.5277777777777778,2,0.0,-1,0.3333333333333333,-3,0.6458333333333334,14,0.5714285714285714,5
26,21800014,Bulls,108,0,0.2,-6,0.5053763440860215,0.5789473684210527,0.3888888888888889,0.0,0,0.5,0,0.5483870967741935,3,0.5,0,0.6,1,0.7083333333333334,20,0.625,6
27,21800014,76ers,127,1,0.8,6,0.6336633663366337,0.6029411764705882,0.696969696969697,0.0,0,0.5,0,0.45161290322580644,-3,0.5,0,0.4,-1,0.2916666666666667,-20,0.375,-6
28,21800015,Heat,113,1,0.3870967741935484,-7,0.7160493827160493,0.6545454545454545,0.8461538461538461,1.0,1,0.4444444444444444,-1,0.5,0,0.5555555555555556,3,0.75,2,0.38461538461538464,-15,0.46153846153846156,-2
29,21800015,Wizards,112,0,0.6129032258064516,7,0.7525773195876289,0.6935483870967742,0.8571428571428571,0.0,-1,0.5555555555555556,1,0.5,0,0.4444444444444444,-3,0.25,-2,0.6153846153846154,15,0.5384615384615384,2
30,21800016,Lakers,119,0,0.6666666666666666,4,0.64,0.6825396825396826,0.5675675675675675,1.0,1,0.5416666666666666,2,0.5471698113207547,5,0.2,-3,0.125,-6,0.5652173913043478,6,0.4166666666666667,-6
31,21800016,Trail Blazers,128,1,0.3333333333333333,-4,0.6881720430107527,0.6349206349206349,0.8,0.0,-1,0.4583333333333333,-2,0.4528301886792453,-5,0.8,3,0.875,6,0.43478260869565216,-6,0.5833333333333334,6
32,21800017,Hornets,120,1,0.6666666666666666,3,0.7659574468085106,0.7777777777777778,0.7419354838709677,0.5,0,0.45,-2,0.48936170212765956,-1,0.25,-2,0.7142857142857143,3,0.6153846153846154,15,0.627906976744186,11
33,21800017,Magic,88,0,0.3333333333333333,-3,0.8152173913043478,0.8518518518518519,0.7631578947368421,0.5,0,0.55,2,0.5106382978723404,1,0.75,2,0.2857142857142857,-3,0.38461538461538464,-15,0.37209302325581395,-11
34,21800018,Knicks,105,0,0.6,1,0.6533333333333333,0.6,0.7333333333333333,1.0,1,0.56,3,0.5737704918032787,9,1.0,1,0.6,2,0.3013698630136986,-29,0.3611111111111111,-10
35,21800018,Nets,107,1,0.4,-1,0.7525773195876289,0.7681159420289855,0.7142857142857143,0.0,-1,0.44,-3,0.4262295081967213,-9,0.0,-1,0.4,-2,0.6986301369863014,29,0.6388888888888888,10
36,21800019,Celtics,101,0,0.5454545454545454,1,0.717391304347826,0.7017543859649122,0.7428571428571429,0.0,-3,0.4,-3,0.3783783783783784,-9,0.5833333333333334,2,0.4,-2,0.4936708860759494,-1,0.45,-4
